Date,Open,High,Low,Close,Adj Close,Volume
11/1/2014,20.49,20.690001,20,20.59,18.58102,64000
12/1/2014,20.27,20.65,18.950001,20.16,18.192976,35500
1/1/2015,21,21,19.360001,20.24,18.265169,40500
2/1/2015,20.200001,21.75,20.120001,21.51,19.411255,42900
3/1/2015,21.540001,21.540001,20.577999,20.834999,18.802113,50100
4/1/2015,20.5,22.24,20.5,20.955,18.910408,31300
5/1/2015,20.84,21.596001,20.58,21.596001,19.488865,17500
6/1/2015,21.475,22.23,21.16,21.35,19.266867,38700
7/1/2015,21.4,21.969999,20.74,21.5,19.402229,44100
8/1/2015,21.110001,21.305,17.51,20.1,18.138828,35000
9/1/2015,19.5,20.75,18.690001,18.790001,16.956648,22300
10/1/2015,18.530001,20.02,18.530001,19.9,17.958345,13100
11/1/2015,19.933001,21.27,19.82,21.200001,19.131502,16300
12/1/2015,21.27,21.601999,19.99,20.459999,18.463703,19100
1/1/2016,19.98,20.24,16.41,16.74,15.444354,24400
2/1/2016,16.875,17.1,14.671,17.1,15.776495,23400
3/1/2016,17.485001,19.23,17.485001,19.129999,17.649376,21800
4/1/2016,19.129999,20.02,18.879999,18.879999,17.418722,30700
5/1/2016,18.98,19.540001,17.93,19.49,17.98151,27200
6/1/2016,19.52,20.01,18.25,19.290001,17.796991,81800
7/1/2016,19.451,20.700001,19.190001,20.59,18.996372,10400
8/1/2016,20.709999,21.42,20.153999,20.614,19.018515,27700
9/1/2016,20.469999,22.181999,20.469999,22.18,20.463312,37500
10/1/2016,22.209999,22.41,19.889999,19.917,18.375463,209000
11/1/2016,20.059999,21.07,19.190001,20.110001,18.553524,47800
12/1/2016,19.639999,20.99,19.639999,20.049999,18.498169,38600
1/1/2017,20.458,22.336,20.434999,22.091,20.381199,158400
2/1/2017,22.41,23.43,22.200001,23.125,21.335169,89100
3/1/2017,23.296,23.982,22.870001,23.959999,22.105541,77200
4/1/2017,24.110001,25.65,23.629999,25.17,23.221891,187300
5/1/2017,25.48,29.08,25.35,28.35,26.155766,1106900
6/1/2017,28.48,31,27.700001,28.950001,26.709324,1787800
7/1/2017,29.16,30.51,28.336,29.622,27.329311,1318800
8/1/2017,29.83,34.32,29.278,34.141998,31.499472,1952400
9/1/2017,34.369999,34.560001,32.950001,34.287998,31.634169,2176400
10/1/2017,34.439999,35.639999,33.57,35.509998,32.761589,2674400
11/1/2017,35.759998,38.200001,33.98,37.200001,34.320797,4156900
12/1/2017,37.25,39.956001,36.060001,37.080002,34.210083,7049400
1/1/2018,37.34,42.549,37.247002,41.240002,38.539673,8727800
2/1/2018,40.689999,42.540001,36.360001,40.91,38.231277,8614400
3/1/2018,41,45.349998,37.93,39.07,36.511761,9098800
4/1/2018,38.73,41.863998,37.200001,39.09,36.530449,5483200
5/1/2018,39.029999,43.938999,38.57,43.48,40.632999,5336800
6/1/2018,43.84,48.57,43.57,44.98,42.034779,9552400
7/1/2018,44.779999,47.950001,43.509998,44.549999,41.632935,6615900
8/1/2018,44.650002,49.869999,44.349998,49.700001,46.445724,7169900
9/1/2018,49.43,49.5,46.18,47.34,44.24025,5289000
10/1/2018,48.349998,48.48,39.389999,42.580002,39.791927,9737200
11/1/2018,43.18,46.220001,39.889999,44.450001,41.539486,5897600
12/1/2018,46,46,34.75,37.189999,34.75486,9025700
1/1/2019,36.27,43.240002,35.91,43.049999,41.523792,7700100
2/1/2019,43.009998,46.84,42.125,46.560001,44.909355,5947500
3/1/2019,46.849998,48.150002,43.380001,46.73,45.07333,8062800
4/1/2019,47.32,49.080002,46.412998,47.220001,45.545959,6967800
5/1/2019,47.5,48.855,40.674999,40.73,39.286045,8555400
6/1/2019,40.73,48.049999,39.880001,47.98,46.279015,6329300
7/1/2019,48.759998,49.919998,47.080002,48.459999,46.741997,4442100
8/1/2019,48.459999,48.75,42.650002,44.32,42.748768,7047100
9/1/2019,43.950001,45.889999,42.279999,42.889999,41.369461,4650100
10/1/2019,43.139999,44.761002,40.119999,44.23,42.661961,5345700
11/1/2019,44.599998,50.466,44.403999,50.43,48.642159,3780100
12/1/2019,50.32,52.009998,48.130001,50.049999,48.275627,4145800
1/1/2020,50.639999,54.403999,49.43,51.799999,50.148605,6520000
2/1/2020,52.310001,60.73,49.599998,52.84,51.155453,11803800
3/1/2020,53.549999,55.548,33,44,42.597271,20516600
4/1/2020,42.419998,57,39.41,55.330002,53.566071,17514200
5/1/2020,53.82,64.900002,51.529999,62.82,60.817287,16278500
6/1/2020,63.360001,73.448997,60.611,71.309998,69.036621,30429400
7/1/2020,71.470001,84.949997,71.330002,80.370003,77.807793,40116300
8/1/2020,81.309998,95.68,81.199997,95.330002,92.290863,39460000
9/1/2020,96.449997,98.900002,81.330002,92,89.067024,58989900
10/1/2020,93.389999,106.150002,89.949997,90.790001,87.895607,56731900
11/1/2020,91.970001,113.760002,89.389999,112.370003,108.787628,61456400
12/1/2020,114,137.080002,109.599998,124.489998,120.52124,115840400
1/1/2021,126.220001,149.850006,122.440002,137.440002,135.187225,146036800
2/1/2021,139.979996,159.699997,126.07,130.360001,128.223267,226506800
3/1/2021,134.539993,138.369995,106.25,119.949997,117.983902,391715700
4/1/2021,122.959999,130.279999,116.540001,120.769997,118.790459,164342400
5/1/2021,121.209999,121.410004,97.220001,112.099998,110.262573,301702900
6/1/2021,112.849998,132.5,107.389999,130.779999,128.636398,180910300
7/1/2021,130.75,131.550003,113.269997,120,118.033089,152440700
8/1/2021,120.540001,126.25,113.540001,122.029999,120.029808,114982400
9/1/2021,122.5,126.32,109.599998,110.529999,108.718307,124522100
10/1/2021,111.019997,124.449997,106.349998,121.279999,119.292107,104403800
11/1/2021,121.93,125.860001,103.580002,105.690002,103.957642,125425400
12/1/2021,106.75,106.980003,89.029999,94.589996,93.039574,306971700
1/1/2022,96,97.169998,64.349998,75.43,74.806129,536694700
2/1/2022,76.690002,78.25,57.5,70.470001,69.887154,476176900
3/1/2022,70.199997,72.004997,51.849998,66.290001,65.741722,572553700
4/1/2022,66.764999,70.839996,45.889999,47.130001,46.740196,467024800
5/1/2022,47,52.709999,35.099998,44.09,43.725338,900637300
6/1/2022,44.18,46.939999,35.650002,39.880001,39.550159,648937900
